ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	Chaperome_ID	Status	log10.p.adjust
GO:0060700	regulation of ribonuclease activity	2/14	19/29456	3.57050188303422e-05	0.00092213960084801	0.00029600729240353	HSPA1A/HSPA1A	2	DNJA2_HUMAN	Up.LFQ.A	-3.0352033270065
GO:0070431	nucleotide-binding oligomerization domain containing 2 signaling pathway	2/14	20/29456	3.96614693318686e-05	0.00092213960084801	0.00029600729240353	HSPA1A/HSPA1A	2	DNJA2_HUMAN	Up.LFQ.A	-3.0352033270065
GO:1900034	regulation of cellular response to heat	3/14	147/29456	4.25727870273594e-05	0.00092213960084801	0.00029600729240353	HSPA1A/HSPH1/HSPA1A	3	DNJA2_HUMAN	Up.LFQ.A	-3.0352033270065
GO:1902036	regulation of hematopoietic stem cell differentiation	3/14	148/29456	4.34414170483541e-05	0.00092213960084801	0.00029600729240353	PSMC4/PSMD11/HIST1H4I	3	DNJA2_HUMAN	Up.LFQ.A	-3.0352033270065
GO:0090084	negative regulation of inclusion body assembly	2/14	21/29456	4.38244562779252e-05	0.00092213960084801	0.00029600729240353	HSPA1A/HSPA1A	2	DNJA2_HUMAN	Up.LFQ.A	-3.0352033270065
GO:1903896	positive regulation of IRE1-mediated unfolded protein response	2/14	21/29456	4.38244562779252e-05	0.00092213960084801	0.00029600729240353	HSPA1A/HSPA1A	2	DNJA2_HUMAN	Up.LFQ.A	-3.0352033270065
GO:0061077	chaperone-mediated protein folding	3/14	151/29456	4.611700663981e-05	0.000931563534124161	0.000299032379896031	HSPA1A/HSPH1/HSPA1A	3	DNJA2_HUMAN	Up.LFQ.A	-3.03078752017881
GO:0090084	negative regulation of inclusion body assembly	4/13	21/29456	1.35884351854002e-10	6.46809514825049e-08	2.25997132557182e-08	DNAJB2/DNAJB6/HSPA1A/HSPA1A	4	DNJB6_HUMAN	Up.LFQ.A	-7.1892236000742
GO:0090083	regulation of inclusion body assembly	4/13	33/29456	9.26331008607318e-10	2.20466780048542e-07	7.70317365052401e-08	DNAJB2/DNAJB6/HSPA1A/HSPA1A	4	DNJB6_HUMAN	Up.LFQ.A	-6.65665684079252
GO:0070841	inclusion body assembly	4/13	51/29456	5.63228005778914e-09	8.93655102502543e-07	3.12245701449363e-07	DNAJB2/DNAJB6/HSPA1A/HSPA1A	4	DNJB6_HUMAN	Up.LFQ.A	-6.04883006060082
GO:0031396	regulation of protein ubiquitination	5/13	336/29456	2.23822760339441e-07	2.66349084803935e-05	9.30631477200833e-06	STUB1/DNAJB2/UBE2N/HSPA1A/HSPA1A	5	DNJB6_HUMAN	Up.LFQ.A	-4.57454879114603
GO:1903320	regulation of protein modification by small protein conjugation or removal	5/13	391/29456	4.73667357221558e-07	4.50931324074923e-05	1.57556720928434e-05	STUB1/DNAJB2/UBE2N/HSPA1A/HSPA1A	5	DNJB6_HUMAN	Up.LFQ.A	-4.34588959525369
GO:0051131	chaperone-mediated protein complex assembly	3/13	41/29456	7.08914175425577e-07	5.62405245837625e-05	1.96506034591651e-05	STUB1/HSPA1A/HSPA1A	3	DNJB6_HUMAN	Up.LFQ.A	-4.24995063708548
GO:0070423	nucleotide-binding oligomerization domain containing signaling pathway	3/13	61/29456	2.38125088533298e-06	0.000138892001175385	4.85292706450924e-05	UBE2N/HSPA1A/HSPA1A	3	DNJB6_HUMAN	Up.LFQ.A	-3.85732276466858
GO:0035872	nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway	3/13	63/29456	2.62610926592114e-06	0.000138892001175385	4.85292706450924e-05	UBE2N/HSPA1A/HSPA1A	3	DNJB6_HUMAN	Up.LFQ.A	-3.85732276466858
GO:0042026	protein refolding	3/13	63/29456	2.62610926592114e-06	0.000138892001175385	4.85292706450924e-05	DNAJB2/HSPA1A/HSPA1A	3	DNJB6_HUMAN	Up.LFQ.A	-3.85732276466858
GO:0034605	cellular response to heat	4/13	253/29456	3.57548845249529e-06	0.000170193250338776	5.94660184730796e-05	STUB1/DNAJB6/HSPA1A/HSPA1A	4	DNJB6_HUMAN	Up.LFQ.A	-3.76905766751083
GO:0051092	positive regulation of NF-kappaB transcription factor activity	4/13	272/29456	4.76242281520381e-06	0.000206083023639728	7.20060100289188e-05	APP/UBE2N/HSPA1A/HSPA1A	4	DNJB6_HUMAN	Up.LFQ.A	-3.6859577823268
GO:0070432	regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway	2/13	10/29456	8.07493793255886e-06	0.000295666958146001	0.000103306898246502	HSPA1A/HSPA1A	2	DNJB6_HUMAN	Up.LFQ.A	-3.52919720674429
GO:0090063	positive regulation of microtubule nucleation	2/13	10/29456	8.07493793255886e-06	0.000295666958146001	0.000103306898246502	HSPA1A/HSPA1A	2	DNJB6_HUMAN	Up.LFQ.A	-3.52919720674429
GO:0060699	regulation of endoribonuclease activity	2/13	11/29456	9.86691146196553e-06	0.000327946271828202	0.000114585384672393	HSPA1A/HSPA1A	2	DNJB6_HUMAN	Up.LFQ.A	-3.48419730189762
GO:0006986	response to unfolded protein	4/13	331/29456	1.0334441339124e-05	0.000327946271828202	0.000114585384672393	STUB1/DNAJB2/HSPA1A/HSPA1A	4	DNJB6_HUMAN	Up.LFQ.A	-3.48419730189762
GO:0010968	regulation of microtubule nucleation	2/13	12/29456	1.18373459585188e-05	0.000332893290798493	0.000116313887541269	HSPA1A/HSPA1A	2	DNJB6_HUMAN	Up.LFQ.A	-3.4776949576176
GO:0009408	response to heat	4/13	343/29456	1.18890460999462e-05	0.000332893290798493	0.000116313887541269	STUB1/DNAJB6/HSPA1A/HSPA1A	4	DNJB6_HUMAN	Up.LFQ.A	-3.4776949576176
GO:0002753	cytoplasmic pattern recognition receptor signaling pathway	3/13	112/29456	1.48853894357732e-05	0.000382574663466098	0.000133672704174355	UBE2N/HSPA1A/HSPA1A	3	DNJB6_HUMAN	Up.LFQ.A	-3.41728379510647
GO:0070424	regulation of nucleotide-binding oligomerization domain containing signaling pathway	2/13	14/29456	1.63130634592111e-05	0.000382574663466098	0.000133672704174355	HSPA1A/HSPA1A	2	DNJB6_HUMAN	Up.LFQ.A	-3.41728379510647
GO:1901029	negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway	2/13	14/29456	1.63130634592111e-05	0.000382574663466098	0.000133672704174355	HSPA1A/HSPA1A	2	DNJB6_HUMAN	Up.LFQ.A	-3.41728379510647
GO:0035966	response to topologically incorrect protein	4/13	375/29456	1.68782939764455e-05	0.000382574663466098	0.000133672704174355	STUB1/DNAJB2/HSPA1A/HSPA1A	4	DNJB6_HUMAN	Up.LFQ.A	-3.41728379510647
GO:0030512	negative regulation of transforming growth factor beta receptor signaling pathway	3/13	123/29456	1.97087365040654e-05	0.000426425389815232	0.000148994275963748	STUB1/HSPA1A/HSPA1A	3	DNJB6_HUMAN	Up.LFQ.A	-3.3701569448624
GO:1903845	negative regulation of cellular response to transforming growth factor beta stimulus	3/13	131/29456	2.37972566898538e-05	0.00049249974714654	0.000172080849290476	STUB1/HSPA1A/HSPA1A	3	DNJB6_HUMAN	Up.LFQ.A	-3.30759398813671
GO:1903265	positive regulation of tumor necrosis factor-mediated signaling pathway	2/13	18/29456	2.74001555470088e-05	0.000543436418349008	0.000189878270895938	HSPA1A/HSPA1A	2	DNJB6_HUMAN	Up.LFQ.A	-3.26485126073219
GO:0060700	regulation of ribonuclease activity	2/13	19/29456	3.06160793924448e-05	0.000550647255421063	0.000192397758417797	HSPA1A/HSPA1A	2	DNJB6_HUMAN	Up.LFQ.A	-3.25912652107932
GO:1900034	regulation of cellular response to heat	3/13	147/29456	3.35728840442859e-05	0.000550647255421063	0.000192397758417797	DNAJB6/HSPA1A/HSPA1A	3	DNJB6_HUMAN	Up.LFQ.A	-3.25912652107932
GO:0070431	nucleotide-binding oligomerization domain containing 2 signaling pathway	2/13	20/29456	3.40093971868308e-05	0.000550647255421063	0.000192397758417797	HSPA1A/HSPA1A	2	DNJB6_HUMAN	Up.LFQ.A	-3.25912652107932
GO:0051091	positive regulation of DNA binding transcription factor activity	4/13	455/29456	3.59683317230157e-05	0.000550647255421063	0.000192397758417797	APP/UBE2N/HSPA1A/HSPA1A	4	DNJB6_HUMAN	Up.LFQ.A	-3.25912652107932
GO:0061077	chaperone-mediated protein folding	3/13	151/29456	3.63715549816956e-05	0.000550647255421063	0.000192397758417797	DNAJB2/HSPA1A/HSPA1A	3	DNJB6_HUMAN	Up.LFQ.A	-3.25912652107932
GO:0032436	positive regulation of proteasomal ubiquitin-dependent protein catabolic process	3/13	152/29456	3.70944058740963e-05	0.000550647255421063	0.000192397758417797	STUB1/HSPA1A/HSPA1A	3	DNJB6_HUMAN	Up.LFQ.A	-3.25912652107932
GO:1903896	positive regulation of IRE1-mediated unfolded protein response	2/13	21/29456	3.75799758588404e-05	0.000550647255421063	0.000192397758417797	HSPA1A/HSPA1A	2	DNJB6_HUMAN	Up.LFQ.A	-3.25912652107932
GO:0006457	protein folding	4/13	462/29456	3.81751248506199e-05	0.000550647255421063	0.000192397758417797	DNAJB2/DNAJB6/HSPA1A/HSPA1A	4	DNJB6_HUMAN	Up.LFQ.A	-3.25912652107932
GO:0009266	response to temperature stimulus	4/13	462/29456	3.81751248506199e-05	0.000550647255421063	0.000192397758417797	STUB1/DNAJB6/HSPA1A/HSPA1A	4	DNJB6_HUMAN	Up.LFQ.A	-3.25912652107932
GO:2000060	positive regulation of ubiquitin-dependent protein catabolic process	3/13	176/29456	5.73902098674531e-05	0.000803462938144343	0.000280732295946055	STUB1/HSPA1A/HSPA1A	3	DNJB6_HUMAN	Up.LFQ.A	-3.09503415142164
GO:0097201	negative regulation of transcription from RNA polymerase II promoter in response to stress	2/13	27/29456	6.27184828781105e-05	0.000852971367142303	0.000298030685556134	HSPA1A/HSPA1A	2	DNJB6_HUMAN	Up.LFQ.A	-3.06906554714527
GO:0098787	mRNA cleavage involved in mRNA processing	2/13	28/29456	6.75261673961165e-05	0.000892845991126429	0.000311962995572702	HSPA1A/HSPA1A	2	DNJB6_HUMAN	Up.LFQ.A	-3.04922344701538
GO:0090101	negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	3/13	192/29456	7.43110122387695e-05	0.000945299499178219	0.000330290404401058	STUB1/HSPA1A/HSPA1A	3	DNJB6_HUMAN	Up.LFQ.A	-3.02443057219646
GO:1901800	positive regulation of proteasomal protein catabolic process	3/13	193/29456	7.54650860688494e-05	0.000945299499178219	0.000330290404401058	STUB1/HSPA1A/HSPA1A	3	DNJB6_HUMAN	Up.LFQ.A	-3.02443057219646
GO:0017015	regulation of transforming growth factor beta receptor signaling pathway	3/13	198/29456	8.14118400448672e-05	0.000993641945162994	0.000347181396142753	STUB1/HSPA1A/HSPA1A	3	DNJB6_HUMAN	Up.LFQ.A	-3.00277008366474
GO:1902236	negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway	3/4	40/29456	9.27004259156817e-09	2.03013932755343e-06	1.07337335270789e-07	HYOU1/HSPA1A/HSPA1A	3	DNJB5_HUMAN	Up.LFQ.A	-5.69247415562806
GO:0042026	protein refolding	3/4	63/29456	3.72375360687721e-08	2.81083321439855e-06	1.48614108908359e-07	HYOU1/HSPA1A/HSPA1A	3	DNJB5_HUMAN	Up.LFQ.A	-5.55116492323473
GO:0051085	chaperone cofactor-dependent protein refolding	3/4	64/29456	3.90678939174226e-08	2.81083321439855e-06	1.48614108908359e-07	HYOU1/HSPA1A/HSPA1A	3	DNJB5_HUMAN	Up.LFQ.A	-5.55116492323473
GO:1902235	regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway	3/4	73/29456	5.83071474188838e-08	2.81083321439855e-06	1.48614108908359e-07	HYOU1/HSPA1A/HSPA1A	3	DNJB5_HUMAN	Up.LFQ.A	-5.55116492323473
GO:0051084	'de novo' posttranslational protein folding	3/4	77/29456	6.85692427147313e-08	2.81083321439855e-06	1.48614108908359e-07	HYOU1/HSPA1A/HSPA1A	3	DNJB5_HUMAN	Up.LFQ.A	-5.55116492323473
GO:1903573	negative regulation of response to endoplasmic reticulum stress	3/4	80/29456	7.70091291616041e-08	2.81083321439855e-06	1.48614108908359e-07	HYOU1/HSPA1A/HSPA1A	3	DNJB5_HUMAN	Up.LFQ.A	-5.55116492323473
GO:0090307	mitotic spindle assembly	3/4	109/29456	1.96626977003039e-07	5.68699940072141e-06	3.00682496553403e-07	ARHGEF10/HSPA1A/HSPA1A	3	DNJB5_HUMAN	Up.LFQ.A	-5.24511681751245
GO:0006458	'de novo' protein folding	3/4	111/29456	2.07744270345988e-07	5.68699940072141e-06	3.00682496553403e-07	HYOU1/HSPA1A/HSPA1A	3	DNJB5_HUMAN	Up.LFQ.A	-5.24511681751245
GO:0070059	intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress	3/4	128/29456	3.19582188155548e-07	7.776499911785e-06	4.11158370726436e-07	HYOU1/HSPA1A/HSPA1A	3	DNJB5_HUMAN	Up.LFQ.A	-5.10921582859219
GO:0036498	IRE1-mediated unfolded protein response	3/4	138/29456	4.01075316473858e-07	8.78354943077749e-06	4.64402998022362e-07	HYOU1/HSPA1A/HSPA1A	3	DNJB5_HUMAN	Up.LFQ.A	-5.0563299503013
GO:0061077	chaperone-mediated protein folding	3/4	151/29456	5.26256606293184e-07	9.73239547220429e-06	5.14570296535675e-07	HYOU1/HSPA1A/HSPA1A	3	DNJB5_HUMAN	Up.LFQ.A	-5.01178025199086
GO:1905897	regulation of response to endoplasmic reticulum stress	3/4	156/29456	5.80583374909548e-07	9.73239547220429e-06	5.14570296535675e-07	HYOU1/HSPA1A/HSPA1A	3	DNJB5_HUMAN	Up.LFQ.A	-5.01178025199086
GO:0070432	regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway	2/4	10/29456	6.22162267629498e-07	9.73239547220429e-06	5.14570296535675e-07	HSPA1A/HSPA1A	2	DNJB5_HUMAN	Up.LFQ.A	-5.01178025199086
GO:0090063	positive regulation of microtubule nucleation	2/4	10/29456	6.22162267629498e-07	9.73239547220429e-06	5.14570296535675e-07	HSPA1A/HSPA1A	2	DNJB5_HUMAN	Up.LFQ.A	-5.01178025199086
GO:0060699	regulation of endoribonuclease activity	2/4	11/29456	7.60386120903513e-07	1.11016373651913e-05	5.86964724907975e-07	HSPA1A/HSPA1A	2	DNJB5_HUMAN	Up.LFQ.A	-4.95461296299484
GO:0010968	regulation of microtubule nucleation	2/4	12/29456	9.12422032030753e-07	1.24887765634209e-05	6.60305417916992e-07	HSPA1A/HSPA1A	2	DNJB5_HUMAN	Up.LFQ.A	-4.90348010428237
GO:0051225	spindle assembly	3/4	190/29456	1.05167897499061e-06	1.35480997366438e-05	7.16313852934783e-07	ARHGEF10/HSPA1A/HSPA1A	3	DNJB5_HUMAN	Up.LFQ.A	-4.86812161488284
GO:0007052	mitotic spindle organization	3/4	199/29456	1.20891122835748e-06	1.37742515784597e-05	7.28270931809932e-07	ARHGEF10/HSPA1A/HSPA1A	3	DNJB5_HUMAN	Up.LFQ.A	-4.86093198914952
GO:0070424	regulation of nucleotide-binding oligomerization domain containing signaling pathway	2/4	14/29456	1.25792251858079e-06	1.37742515784597e-05	7.28270931809932e-07	HSPA1A/HSPA1A	2	DNJB5_HUMAN	Up.LFQ.A	-4.86093198914952
GO:1901029	negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway	2/4	14/29456	1.25792251858079e-06	1.37742515784597e-05	7.28270931809932e-07	HSPA1A/HSPA1A	2	DNJB5_HUMAN	Up.LFQ.A	-4.86093198914952
GO:2001243	negative regulation of intrinsic apoptotic signaling pathway	3/4	210/29456	1.42140080753489e-06	1.48231798500067e-05	7.83729768565602e-07	HYOU1/HSPA1A/HSPA1A	3	DNJB5_HUMAN	Up.LFQ.A	-4.82905862205329
GO:1902850	microtubule cytoskeleton organization involved in mitosis	3/4	229/29456	1.84447402093856e-06	1.83609004811611e-05	9.70775800493976e-07	ARHGEF10/HSPA1A/HSPA1A	3	DNJB5_HUMAN	Up.LFQ.A	-4.73610602333035
GO:0030968	endoplasmic reticulum unfolded protein response	3/4	236/29456	2.01926915191459e-06	1.9226954098665e-05	1.01656570576936e-06	HYOU1/HSPA1A/HSPA1A	3	DNJB5_HUMAN	Up.LFQ.A	-4.71608951050494
GO:1903265	positive regulation of tumor necrosis factor-mediated signaling pathway	2/4	18/29456	2.11458558937124e-06	1.92955935030126e-05	1.02019480188963e-06	HSPA1A/HSPA1A	2	DNJB5_HUMAN	Up.LFQ.A	-4.71454185865158
GO:0060700	regulation of ribonuclease activity	2/4	19/29456	2.36325334530957e-06	2.07020993049119e-05	1.09455944414338e-06	HSPA1A/HSPA1A	2	DNJB5_HUMAN	Up.LFQ.A	-4.68398561249907
GO:0034605	cellular response to heat	3/4	253/29456	2.48888084378364e-06	2.09640347995622e-05	1.10840847294008e-06	HYOU1/HSPA1A/HSPA1A	3	DNJB5_HUMAN	Up.LFQ.A	-4.67852512805524
GO:0070431	nucleotide-binding oligomerization domain containing 2 signaling pathway	2/4	20/29456	2.62571814306004e-06	2.12974916048203e-05	1.12603896973335e-06	HSPA1A/HSPA1A	2	DNJB5_HUMAN	Up.LFQ.A	-4.67167154427655
GO:0090084	negative regulation of inclusion body assembly	2/4	21/29456	2.90197810604797e-06	2.19149381111898e-05	1.15868454324964e-06	HSPA1A/HSPA1A	2	DNJB5_HUMAN	Up.LFQ.A	-4.65925975147622
GO:1903896	positive regulation of IRE1-mediated unfolded protein response	2/4	21/29456	2.90197810604797e-06	2.19149381111898e-05	1.15868454324964e-06	HSPA1A/HSPA1A	2	DNJB5_HUMAN	Up.LFQ.A	-4.65925975147622
GO:0034620	cellular response to unfolded protein	3/4	274/29456	3.1626974294499e-06	2.30876912349842e-05	1.22069023592803e-06	HYOU1/HSPA1A/HSPA1A	3	DNJB5_HUMAN	Up.LFQ.A	-4.63661949428243
GO:0007051	spindle organization	3/4	309/29456	4.53767276350429e-06	3.20564624260465e-05	1.69488626141077e-06	ARHGEF10/HSPA1A/HSPA1A	3	DNJB5_HUMAN	Up.LFQ.A	-4.49408440567544
GO:0035967	cellular response to topologically incorrect protein	3/4	315/29456	4.80732253577423e-06	3.21805984801708e-05	1.70144957116981e-06	HYOU1/HSPA1A/HSPA1A	3	DNJB5_HUMAN	Up.LFQ.A	-4.49240588335014
GO:0097201	negative regulation of transcription from RNA polymerase II promoter in response to stress	2/4	27/29456	4.84913127783395e-06	3.21805984801708e-05	1.70144957116981e-06	HSPA1A/HSPA1A	2	DNJB5_HUMAN	Up.LFQ.A	-4.49240588335014
GO:0098787	mRNA cleavage involved in mRNA processing	2/4	28/29456	5.22190486142876e-06	3.36352107250853e-05	1.77835769274664e-06	HSPA1A/HSPA1A	2	DNJB5_HUMAN	Up.LFQ.A	-4.4732058471114
GO:0006986	response to unfolded protein	3/4	331/29456	5.5779954475585e-06	3.4902314371866e-05	1.84535187738777e-06	HYOU1/HSPA1A/HSPA1A	3	DNJB5_HUMAN	Up.LFQ.A	-4.45714577402635
GO:2001242	regulation of intrinsic apoptotic signaling pathway	3/4	335/29456	5.78270743205933e-06	3.51781368783609e-05	1.85993513896645e-06	HYOU1/HSPA1A/HSPA1A	3	DNJB5_HUMAN	Up.LFQ.A	-4.4537271655856
GO:0009408	response to heat	3/4	343/29456	6.20699052654953e-06	3.67386736571445e-05	1.94244369251906e-06	HYOU1/HSPA1A/HSPA1A	3	DNJB5_HUMAN	Up.LFQ.A	-4.43487652668511
GO:0090083	regulation of inclusion body assembly	2/4	33/29456	7.29243760782048e-06	3.99260959028171e-05	2.11096878121119e-06	HSPA1A/HSPA1A	2	DNJB5_HUMAN	Up.LFQ.A	-4.39874315438762
GO:1901673	regulation of mitotic spindle assembly	2/4	33/29456	7.29243760782048e-06	3.99260959028171e-05	2.11096878121119e-06	HSPA1A/HSPA1A	2	DNJB5_HUMAN	Up.LFQ.A	-4.39874315438762
GO:1903894	regulation of IRE1-mediated unfolded protein response	2/4	33/29456	7.29243760782048e-06	3.99260959028171e-05	2.11096878121119e-06	HSPA1A/HSPA1A	2	DNJB5_HUMAN	Up.LFQ.A	-4.39874315438762
GO:0032075	positive regulation of nuclease activity	2/4	34/29456	7.7478639941254e-06	4.03995765407967e-05	2.13600260489673e-06	HSPA1A/HSPA1A	2	DNJB5_HUMAN	Up.LFQ.A	-4.39362318704185
GO:1900103	positive regulation of endoplasmic reticulum unfolded protein response	2/4	34/29456	7.7478639941254e-06	4.03995765407967e-05	2.13600260489673e-06	HSPA1A/HSPA1A	2	DNJB5_HUMAN	Up.LFQ.A	-4.39362318704185
GO:0035966	response to topologically incorrect protein	3/4	375/29456	8.11075071623953e-06	4.13082420199176e-05	2.18404548050514e-06	HYOU1/HSPA1A/HSPA1A	3	DNJB5_HUMAN	Up.LFQ.A	-4.38396328716563
GO:1902905	positive regulation of supramolecular fiber organization	3/4	389/29456	9.05284967653237e-06	4.50585017991043e-05	2.38232886224536e-06	ARHGEF10/HSPA1A/HSPA1A	3	DNJB5_HUMAN	Up.LFQ.A	-4.34622325271869
GO:0000394	RNA splicing, via endonucleolytic cleavage and ligation	2/4	39/29456	1.02314919728335e-05	4.97932609344563e-05	2.63266460119692e-06	HSPA1A/HSPA1A	2	DNJB5_HUMAN	Up.LFQ.A	-4.3028294310761
GO:0051131	chaperone-mediated protein complex assembly	2/4	41/29456	1.13212729877441e-05	5.38991040068685e-05	2.84974834931773e-06	HSPA1A/HSPA1A	2	DNJB5_HUMAN	Up.LFQ.A	-4.26841845425866
GO:0051495	positive regulation of cytoskeleton organization	3/4	433/29456	1.24810242076864e-05	5.81562617336877e-05	3.07483239159127e-06	ARHGEF10/HSPA1A/HSPA1A	3	DNJB5_HUMAN	Up.LFQ.A	-4.23540351756528
GO:0050685	positive regulation of mRNA processing	2/4	45/29456	1.3665889373673e-05	6.13475633427162e-05	3.2435625896173e-06	HSPA1A/HSPA1A	2	DNJB5_HUMAN	Up.LFQ.A	-4.21220268229033
GO:0006379	mRNA cleavage	2/4	46/29456	1.42864188606325e-05	6.13475633427162e-05	3.2435625896173e-06	HSPA1A/HSPA1A	2	DNJB5_HUMAN	Up.LFQ.A	-4.21220268229033
GO:0045648	positive regulation of erythrocyte differentiation	2/4	46/29456	1.42864188606325e-05	6.13475633427162e-05	3.2435625896173e-06	HSPA1A/HSPA1A	2	DNJB5_HUMAN	Up.LFQ.A	-4.21220268229033
GO:0090169	regulation of spindle assembly	2/4	46/29456	1.42864188606325e-05	6.13475633427162e-05	3.2435625896173e-06	HSPA1A/HSPA1A	2	DNJB5_HUMAN	Up.LFQ.A	-4.21220268229033
GO:2001234	negative regulation of apoptotic signaling pathway	3/4	459/29456	1.48629446713026e-05	6.14650185530634e-05	3.24977267043354e-06	HYOU1/HSPA1A/HSPA1A	3	DNJB5_HUMAN	Up.LFQ.A	-4.21137198295172
GO:0006457	protein folding	3/4	462/29456	1.51557579993855e-05	6.14650185530634e-05	3.24977267043354e-06	HYOU1/HSPA1A/HSPA1A	3	DNJB5_HUMAN	Up.LFQ.A	-4.21137198295172
GO:0009266	response to temperature stimulus	3/4	462/29456	1.51557579993855e-05	6.14650185530634e-05	3.24977267043354e-06	HYOU1/HSPA1A/HSPA1A	3	DNJB5_HUMAN	Up.LFQ.A	-4.21137198295172
